Execution times in seconds 
82.473
101.547
77.779
41.822
41.544
42.643
43.072
41.501
40.41
41.605


 Best makespans 
38778.0 51833.0
39404.0 48678.0
38818.0 51782.0
36901.0 52906.0
43646.0 46719.0
39095.0 52717.0
36142.0 52706.0
38211.0 52550.0
38480.0 50225.0
39427.0 48839.0


 Execution Performance 
38778.0 51833.0
38888.0 49599.0
39082.0 49264.0
39661.0 47646.0
41006.0 47024.0
41231.0 46024.0
41524.0 45988.0
42778.0 45310.0
42828.0 44457.0
43705.0 43817.0
45227.0 43754.0
45251.0 43704.0
45508.0 43234.0
46278.0 42548.0
46455.0 42173.0
48332.0 41324.0
48707.0 40457.0
48710.0 39960.0
49897.0 39592.0
51196.0 38884.0
52390.0 38701.0
52663.0 38537.0
53639.0 38402.0
54343.0 38101.0
54743.0 37653.0
54776.0 37290.0
55663.0 37276.0
55993.0 37052.0
57461.0 36268.0
57539.0 36160.0
58373.0 35919.0
58619.0 35304.0
58768.0 35109.0
59081.0 34961.0
59489.0 34201.0
59507.0 34187.0
59691.0 33906.0
61645.0 33799.0
62262.0 33430.0
62602.0 33401.0
63288.0 32740.0
63584.0 32701.0
63734.0 32559.0
64448.0 32056.0
64519.0 31665.0
65072.0 31091.0
65512.0 30998.0
67557.0 30280.0
68464.0 30007.0
68827.0 29336.0
68984.0 29078.0
69304.0 28780.0
70739.0 28379.0
70968.0 27746.0
71511.0 27447.0
73852.0 27153.0
74957.0 27078.0
76415.0 26888.0
76601.0 26739.0
77611.0 26576.0
78188.0 26254.0
79653.0 26154.0
82368.0 25723.0
84612.0 25205.0
86839.0 24984.0
87816.0 24804.0
89362.0 24722.0
89449.0 24587.0
92248.0 24523.0
92441.0 24420.0
92492.0 24370.0
92538.0 24071.0
95551.0 23822.0
96975.0 23657.0
99393.0 23146.0
100671.0 23133.0
102947.0 23094.0
103056.0 22663.0
103139.0 22481.0
105296.0 21976.0
106869.0 21844.0
109951.0 21644.0
111053.0 21577.0
113019.0 21321.0
114743.0 21259.0
117103.0 20898.0
119795.0 20755.0
123051.0 20330.0
123290.0 20328.0
126033.0 20211.0
126654.0 19552.0
126768.0 19547.0
127743.0 19362.0
137158.0 18867.0
137583.0 18778.0
141339.0 18392.0
144748.0 18008.0
146661.0 17504.0
150097.0 17382.0
158538.0 16737.0
172774.0 16555.0
172892.0 16429.0
181184.0 16335.0

39404.0 48678.0
40024.0 47283.0
40844.0 46518.0
41499.0 46108.0
42211.0 45503.0
42539.0 45121.0
44253.0 44756.0
44359.0 43896.0
44683.0 43894.0
45280.0 43808.0
45800.0 43152.0
46281.0 43024.0
46356.0 42839.0
46478.0 42349.0
47422.0 41301.0
47725.0 40880.0
50194.0 40302.0
50233.0 39371.0
50511.0 39185.0
52078.0 39024.0
52598.0 38425.0
53780.0 37658.0
54395.0 36779.0
55735.0 36500.0
56298.0 36331.0
56718.0 36293.0
58131.0 36171.0
58596.0 36077.0
58767.0 35500.0
58827.0 35235.0
59160.0 35139.0
59348.0 34832.0
59988.0 34666.0
60473.0 34092.0
61238.0 33941.0
61530.0 33704.0
61585.0 33354.0
62393.0 33042.0
62415.0 32834.0
63344.0 32672.0
63454.0 32629.0
64144.0 32539.0
65041.0 32537.0
65131.0 32512.0
65241.0 31783.0
65562.0 31284.0
67149.0 30517.0
67674.0 30317.0
67808.0 29924.0
69337.0 29862.0
69471.0 27851.0
69779.0 27745.0
70192.0 27728.0
72498.0 27278.0
73133.0 27136.0
73896.0 27066.0
75348.0 26723.0
77268.0 26488.0
77928.0 26302.0
78292.0 25866.0
80879.0 25780.0
82215.0 25616.0
82506.0 25574.0
82955.0 25485.0
83572.0 25391.0
84272.0 25328.0
87088.0 25184.0
87325.0 25014.0
88505.0 24950.0
88676.0 24251.0
90055.0 24128.0
90945.0 24092.0
91125.0 23990.0
93434.0 23781.0
93446.0 23645.0
96236.0 23472.0
97812.0 23373.0
97859.0 23362.0
98691.0 23028.0
100484.0 22945.0
101980.0 22802.0
102628.0 22728.0
103347.0 22710.0
104888.0 22625.0
106128.0 22481.0
108198.0 21956.0
109051.0 21945.0
110383.0 21402.0
114288.0 21051.0
116609.0 20983.0
117719.0 20964.0
119385.0 20834.0
119733.0 20710.0
122308.0 20435.0
122721.0 19956.0
127604.0 19404.0
129747.0 19203.0
133458.0 19104.0
133953.0 18513.0
134916.0 18404.0
137388.0 18398.0
141625.0 17989.0
145853.0 17661.0
153675.0 17027.0
158123.0 16889.0
170757.0 16494.0
178985.0 16211.0
198393.0 16202.0

38818.0 51782.0
38902.0 49917.0
39141.0 49687.0
39533.0 48679.0
39863.0 48346.0
39878.0 48088.0
40373.0 47618.0
40830.0 47138.0
41676.0 46591.0
42153.0 45298.0
42591.0 44866.0
43224.0 44017.0
44159.0 43883.0
44742.0 43858.0
44970.0 43365.0
45126.0 42780.0
46139.0 42298.0
46396.0 42166.0
47629.0 41642.0
47749.0 41177.0
48488.0 40843.0
48719.0 40653.0
48968.0 40476.0
49239.0 39857.0
49314.0 39827.0
49401.0 39576.0
50828.0 39434.0
52328.0 38762.0
52736.0 38467.0
53967.0 37629.0
54362.0 37393.0
54540.0 37153.0
54776.0 36871.0
55832.0 36297.0
56738.0 36251.0
57504.0 36239.0
58105.0 35728.0
58369.0 35343.0
58784.0 35277.0
59959.0 34360.0
60453.0 33748.0
61035.0 33294.0
62602.0 33046.0
62633.0 33017.0
63274.0 32821.0
64387.0 32574.0
65074.0 31875.0
65265.0 31271.0
67050.0 30694.0
67543.0 30152.0
67955.0 29811.0
68893.0 29296.0
70370.0 29289.0
70515.0 28978.0
70539.0 28834.0
71267.0 28395.0
72657.0 27265.0
72995.0 26813.0
74192.0 26768.0
75914.0 26618.0
77066.0 26430.0
77447.0 26429.0
78540.0 26426.0
79238.0 26304.0
79488.0 25961.0
80886.0 25932.0
81040.0 25606.0
82582.0 25497.0
84851.0 25315.0
85821.0 25124.0
86105.0 25101.0
86979.0 25042.0
86984.0 24981.0
87891.0 24774.0
88053.0 24595.0
90448.0 24558.0
91015.0 24194.0
91019.0 24113.0
92263.0 23920.0
92360.0 23915.0
94913.0 23761.0
95007.0 23711.0
95160.0 23656.0
96602.0 23502.0
97826.0 23470.0
100402.0 23260.0
100768.0 23107.0
102373.0 22938.0
103472.0 22679.0
107144.0 22418.0
109216.0 22039.0
109235.0 21857.0
111660.0 21602.0
112173.0 21555.0
113663.0 21318.0
115922.0 21197.0
115947.0 21067.0
118812.0 20961.0
119523.0 20680.0
122211.0 20643.0
122536.0 20219.0
126778.0 19887.0
129787.0 19695.0
130845.0 19331.0
132462.0 19157.0
135576.0 18987.0
139000.0 18053.0
143150.0 17640.0
146680.0 17448.0
150790.0 17305.0
152397.0 17020.0

36901.0 52906.0
37268.0 51921.0
37691.0 51613.0
38518.0 49618.0
39205.0 49100.0
39313.0 48529.0
40396.0 48218.0
40828.0 47704.0
40840.0 47210.0
41767.0 46294.0
41951.0 45746.0
42196.0 45392.0
43337.0 45093.0
