Execution times in seconds 
955.02
938.383
939.397
985.587
976.332
983.936
940.851
949.699
1236.263
2122.365


 Best makespans 
42927.0 53397.0
43513.0 58395.0
43550.0 51090.0
43689.0 55533.0
43491.0 51874.0
41730.0 52626.0
43198.0 52686.0
44152.0 51732.0
43004.0 53887.0
41838.0 51565.0


 Execution Performance 
42927.0 53397.0
44264.0 51820.0
44448.0 47514.0
46130.0 45826.0
50206.0 43518.0
55460.0 42865.0
55489.0 39946.0
57167.0 39659.0
61707.0 39652.0
62078.0 39619.0
62266.0 39238.0
62760.0 37827.0
65767.0 37030.0
67348.0 36482.0
67546.0 35480.0
71723.0 35319.0
72132.0 34263.0
78647.0 33470.0
79317.0 31958.0
91545.0 31797.0
93494.0 31163.0
93582.0 31152.0
94663.0 31073.0
97748.0 30971.0
100349.0 29686.0
106279.0 27561.0

43513.0 58395.0
44587.0 52459.0
45044.0 50784.0
46666.0 50628.0
46997.0 49105.0
47834.0 48089.0
48100.0 47602.0
49847.0 45979.0
50023.0 45821.0
50751.0 45429.0
50840.0 44541.0
51465.0 42922.0
54171.0 42921.0
55554.0 42780.0
55969.0 42644.0
56733.0 41336.0
58090.0 39641.0
59635.0 38650.0
62959.0 38568.0
64109.0 38523.0
64116.0 38011.0
65672.0 37955.0
65902.0 37677.0
66809.0 37326.0
67483.0 36887.0
68509.0 35160.0
73380.0 34649.0
78852.0 34582.0
78922.0 34579.0
79023.0 34020.0
79255.0 33074.0
82648.0 32975.0
85223.0 32826.0
86699.0 32272.0
90725.0 32127.0
91742.0 29792.0
93026.0 29751.0
95068.0 29116.0
107315.0 28355.0
130172.0 28226.0
182272.0 27951.0

43550.0 51090.0
46147.0 50640.0
46847.0 47805.0
47892.0 47630.0
48429.0 47319.0
48572.0 45623.0
52590.0 45457.0
52637.0 42794.0
55116.0 42792.0
55289.0 42326.0
56497.0 41941.0
58130.0 40675.0
58474.0 39984.0
59201.0 39949.0
61500.0 38252.0
64767.0 37823.0
66419.0 37797.0
66886.0 37278.0
67583.0 36946.0
68258.0 36649.0
69211.0 36643.0
