Execution times in seconds 
8.799
8.038
8.128
8.049
8.177
8.016
8.197
7.905
8.055
8.126


 Best makespans 
47139.0 56141.0
50099.0 47526.0
47099.0 55614.0
39479.0 52802.0
44761.0 52846.0
50992.0 44212.0
47300.0 55614.0
44520.0 55712.0
39236.0 52996.0
46240.0 55614.0


 Execution Performance 
47139.0 56141.0
47669.0 52652.0
49898.0 49472.0
50780.0 44212.0
64032.0 40704.0
69859.0 36096.0
79668.0 34808.0
82444.0 32931.0
86018.0 30893.0
105859.0 28789.0
125331.0 26756.0
141607.0 24972.0
158534.0 22974.0
177042.0 20830.0

50099.0 47526.0
50196.0 44212.0
65613.0 41461.0
67986.0 36246.0
83556.0 32737.0
84934.0 30898.0
105896.0 28812.0

47099.0 55614.0
47297.0 52846.0
47866.0 49338.0
51827.0 44234.0
53696.0 40955.0
67479.0 36281.0
81588.0 34830.0
83961.0 32737.0
84368.0 30933.0
105456.0 28789.0
122540.0 26870.0
143595.0 24929.0

39479.0 52802.0
50878.0 49338.0
52043.0 44234.0
55010.0 41518.0
66270.0 38338.0
68932.0 32967.0
86768.0 30903.0
104341.0 28812.0
120899.0 26831.0
141609.0 24968.0
158614.0 22974.0
177850.0 20846.0

44761.0 52846.0
47890.0 49472.0
50627.0 44212.0
55702.0 40933.0
64476.0 38316.0
72291.0 36238.0
81308.0 32888.0
89279.0 30855.0
105425.0 28812.0
122559.0 26721.0
140122.0 24932.0
156203.0 22974.0
177027.0 20870.0

50992.0 44212.0
64845.0 40881.0
68212.0 36096.0
82280.0 32737.0
85884.0 30897.0

47300.0 55614.0
49261.0 52767.0
49447.0 49488.0
55730.0 44059.0
65072.0 40745.0
72114.0 36203.0
80787.0 32888.0
86007.0 30933.0
106761.0 28794.0
121867.0 26738.0
138558.0 24972.0
157051.0 22974.0
177805.0 20830.0

44520.0 55712.0
51462.0 49488.0
52446.0 44212.0
57655.0 41496.0
70258.0 36246.0
79628.0 32737.0
86629.0 30933.0
107354.0 28794.0
125128.0 27042.0
141078.0 25008.0
157564.0 22912.0
177983.0 20853.0

39236.0 52996.0
48635.0 49488.0
49403.0 44212.0
66888.0 41461.0
71165.0 38315.0
71563.0 32924.0
88802.0 30890.0
104285.0 28812.0
121093.0 27060.0
141331.0 25008.0
160036.0 22944.0
177405.0 20853.0

46240.0 55614.0
46726.0 52089.0
49588.0 47392.0
50221.0 44212.0
67546.0 40882.0
72589.0 36053.0
84056.0 32888.0
87430.0 30868.0
104626.0 28812.0
120109.0 26813.0
138293.0 24968.0
154372.0 22974.0
172556.0 20835.0


