Folder,Method_1,Method_2,Method_3,Method_4,Method_5,Method_6,Method_7,Method_8,Method_9,Method_10,Method_11,Method_12,Method_13,Method_14,Method_15
1,14.250,3.000,1.125,2.000,14.550,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050
2,14.250,3.000,1.075,2.000,14.525,13.025,13.025,13.025,13.025,13.025,13.025,13.025,13.025,13.025,13.025
3,13.950,3.250,1.075,2.000,14.300,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050,13.050
4,13.950,6.325,1.050,2.000,13.775,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825,12.825
5,14.250,9.725,1.050,2.000,13.575,12.450,12.450,12.450,12.450,12.450,12.450,12.450,12.450,12.450,12.450
6,14.350,12.650,1.050,2.000,13.650,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225,12.225
7,13.975,13.450,1.050,2.000,13.175,12.175,12.175,12.175,12.175,12.175,12.175,12.175,12.175,12.175,12.175
8,13.850,13.650,1.050,2.000,13.075,12.100,12.100,12.100,12.100,12.100,12.100,12.100,12.100,12.100,12.150
9,13.775,14.000,1.050,2.000,13.000,11.775,11.775,11.775,11.775,11.775,11.900,11.775,11.900,11.875,12.100
10,13.700,14.125,1.025,2.000,12.950,10.750,10.850,10.850,10.750,11.075,11.525,11.550,11.300,11.375,11.725
Overall_Average,14.030,9.317,1.060,2.000,13.657,12.342,12.352,12.352,12.342,12.375,12.433,12.422,12.410,12.415,12.477
